Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,3764.610107421875,3870.89990234375,3662.7099609375,3714.239990234375,3714.239990234375,106117800000
2021-02-01,3731.169921875,3950.429931640625,3725.6201171875,3811.14990234375,3811.14990234375,99082320000
2021-03-01,3842.510009765625,3994.409912109375,3723.340087890625,3972.889892578125,3972.889892578125,122371150000
2021-04-01,3992.780029296875,4218.77978515625,3992.780029296875,4181.169921875,4181.169921875,83124090000
2021-05-01,4191.97998046875,4238.0400390625,4056.8798828125,4204.10986328125,4204.10986328125,88321860000
2021-06-01,4216.52001953125,4302.43017578125,4164.39990234375,4297.5,4297.5,102544180000
2021-07-01,4300.72998046875,4429.97021484375,4233.1298828125,4395.259765625,4395.259765625,84255620000
2021-08-01,4406.85986328125,4537.35986328125,4367.72998046875,4522.68017578125,4522.68017578125,80500760000
2021-09-01,4528.7998046875,4545.85009765625,4305.91015625,4307.5400390625,4307.5400390625,85528860000
2021-10-01,4317.16015625,4608.080078125,4278.93994140625,4605.3798828125,4605.3798828125,80253600000
2021-11-01,4610.6201171875,4743.830078125,4560.0,4567.0,4567.0,88268840000
2021-12-01,4602.81982421875,4808.93017578125,4495.1201171875,4766.18017578125,4766.18017578125,92750180000
2022-01-01,4778.14013671875,4818.6201171875,4222.6201171875,4515.5498046875,4515.5498046875,95562890000
2022-02-01,4519.56982421875,4595.31005859375,4114.64990234375,4373.93994140625,4373.93994140625,92667710000
2022-03-01,4363.14013671875,4637.2998046875,4157.8701171875,4530.41015625,4530.41015625,123546260000
2022-04-01,4540.31982421875,4593.4501953125,4124.27978515625,4131.93017578125,4131.93017578125,90367840000
2022-05-01,4130.60986328125,4307.66015625,3810.320068359375,4132.14990234375,4132.14990234375,108860390000
2022-06-01,4149.77978515625,4177.509765625,3636.8701171875,3785.3798828125,3785.3798828125,106116710000
2022-07-01,3781.0,4140.14990234375,3721.56005859375,4130.2900390625,4130.2900390625,81688320000
2022-08-01,4112.3798828125,4325.27978515625,3954.530029296875,3955.0,3955.0,92252350000
2022-09-01,3936.72998046875,4119.27978515625,3584.1298828125,3585.6201171875,3585.6201171875,94241020000
2022-10-01,3609.780029296875,3905.419921875,3491.580078125,3871.97998046875,3871.97998046875,95823760000
2022-11-01,3901.7900390625,4080.110107421875,3698.14990234375,4080.110107421875,4080.110107421875,92671910000
2022-12-01,4087.139892578125,4100.9599609375,3764.489990234375,3839.5,3839.5,85249330000
2023-01-01,3853.2900390625,4094.2099609375,3794.330078125,4076.60009765625,4076.60009765625,80763810000
2023-02-01,4070.070068359375,4195.43994140625,3943.080078125,3970.14990234375,3970.14990234375,80392280000
2023-03-01,3963.340087890625,4110.75,3808.860107421875,4109.31005859375,4109.31005859375,113094800000
2023-04-01,4102.2001953125,4170.06005859375,4049.35009765625,4169.47998046875,4169.47998046875,70861260000
2023-05-01,4166.7900390625,4231.10009765625,4048.280029296875,4179.830078125,4179.830078125,88929200000
2023-06-01,4183.02978515625,4458.47998046875,4171.64013671875,4450.3798828125,4450.3798828125,87983140000
2023-07-01,4450.47998046875,4607.06982421875,4385.0498046875,4588.9599609375,4588.9599609375,75063200000
2023-08-01,4578.830078125,4584.6201171875,4335.31005859375,4507.66015625,4507.66015625,86840820000
2023-09-01,4530.60009765625,4541.25,4238.6298828125,4288.0498046875,4288.0498046875,73482980000
2023-10-01,4284.52001953125,4393.56982421875,4103.77978515625,4193.7998046875,4193.7998046875,83519460000
2023-11-01,4201.27001953125,4587.64013671875,4197.740234375,4567.7998046875,4567.7998046875,80970570000
2023-12-01,4559.43017578125,4793.2998046875,4546.5,4769.830078125,4769.830078125,81530670000
2024-01-01,4745.2001953125,4931.08984375,4682.10986328125,4845.64990234375,4845.64990234375,81737880000
2024-02-01,4861.10986328125,5048.39013671875,4853.52001953125,5005.56982421875,5005.56982421875,49900170000
