inflation,year
1.45797598627791,1960
1.07072414764724,1961
1.19877334820186,1962
1.23966942148753,1963
1.27891156462591,1964
1.58516926383662,1965
3.0150753768844,1966
2.77278562259309,1967
4.27179615288537,1968
5.46238620028745,1969
5.83825533848251,1970
4.29276668813051,1971
3.27227824655283,1972
6.17776006377038,1973
11.0548048048048,1974
9.14314686496535,1975
5.74481263549085,1976
6.5016839947284,1977
7.63096383885606,1978
11.2544711292795,1979
13.5492019749684,1980
10.3347153402771,1981
6.13142700027493,1982
3.21243523316065,1983
4.30053547523429,1984
3.54564415209365,1985
1.89804772234276,1986
3.6645632175169,1987
4.07774110744413,1988
4.82700303008944,1989
5.39795643990325,1990
4.23496396453849,1991
3.02881967814969,1992
2.95165696638559,1993
2.60744159215453,1994
2.80541968853662,1995
2.93120419993441,1996
2.33768993730735,1997
1.55227909874364,1998
2.18802719697358,1999
3.37685727149929,2000
2.82617111885407,2001
1.58603162650601,2002
2.27009497336115,2003
2.67723669309172,2004
3.3927468454955,2005
3.22594410070404,2006
2.85267248150138,2007
3.839100296651,2008
-0.355546266299747,2009
1.6400434423899,2010
3.156841568622,2011
2.06933726526067,2012
1.46483265562717,2013
1.62222297740817,2014
0.118627135552451,2015
1.26158320570536,2016
2.13011000365961,2017
2.44258329692817,2018
1.81221007526021,2019
1.23358439630629,2020
4.69785886363742,2021
8.00279982052121,2022
